train_id,type_train,capacite,operateur
T001,TGV inOui,510,SNCF Voyageurs
T002,TGV inOui,510,SNCF Voyageurs
T003,TGV inOui,510,SNCF Voyageurs
T004,TGV inOui,510,SNCF Voyageurs
T005,TGV inOui,510,SNCF Voyageurs
T006,TGV inOui,510,SNCF Voyageurs
T007,TGV inOui,510,SNCF Voyageurs
T008,TGV inOui,510,SNCF Voyageurs
T009,TGV inOui,510,SNCF Voyageurs
T010,TGV inOui,510,SNCF Voyageurs
T011,TGV inOui,510,SNCF Voyageurs
T012,TGV inOui,510,SNCF Voyageurs
T013,TGV inOui,510,SNCF Voyageurs
T014,TGV inOui,510,SNCF Voyageurs
T015,Ouigo,634,SNCF Voyageurs
T016,Ouigo,634,SNCF Voyageurs
T017,Ouigo,634,SNCF Voyageurs
T018,Ouigo,634,SNCF Voyageurs
T019,Ouigo,634,SNCF Voyageurs
T020,Ouigo,634,SNCF Voyageurs
T021,Ouigo,634,SNCF Voyageurs
T022,Ouigo,634,SNCF Voyageurs
T023,Intercites,350,SNCF Voyageurs
T024,Intercites,350,SNCF Voyageurs
T025,Intercites,350,SNCF Voyageurs
T026,Intercites,350,SNCF Voyageurs
T027,Intercites,350,SNCF Voyageurs
T028,Intercites,350,SNCF Voyageurs
T029,TER,220,SNCF Voyageurs
T030,TER,220,SNCF Voyageurs
T031,TER,220,SNCF Voyageurs
T032,TER,220,SNCF Voyageurs
T033,TER,220,SNCF Voyageurs
T034,TER,220,SNCF Voyageurs
T035,TER,220,SNCF Voyageurs
T036,TER,220,SNCF Voyageurs
T037,TER,220,SNCF Voyageurs
T038,TER,220,SNCF Voyageurs
T039,TER,220,SNCF Voyageurs
T040,TER,220,SNCF Voyageurs
