trajet_id,date,train_id,gare_depart_id,gare_arrivee_id,heure_depart_prevue,heure_depart_reelle,retard_minutes,statut,nb_passagers,prix_moyen_eur
J000001,2026-02-06,T018,G02,G12,20:06,20:06,0,A l'heure,379,40.01
J000002,2026-02-12,T034,G08,G10,14:18,14:31,13,Retarde,143,17.67
J000003,2026-07-11,T003,G02,G09,19:15,19:17,2,Retarde,355,106.35
J000004,2026-02-18,T015,G12,G09,13:00,13:00,0,A l'heure,571,44.07
J000005,2025-09-28,T015,G06,G05,13:45,13:45,0,A l'heure,378,43.01
J000006,2026-07-01,T007,G15,G03,16:42,16:42,0,A l'heure,313,72.15
J000007,2026-04-21,T028,G05,G13,07:45,07:45,0,A l'heure,236,51.84
J000008,2026-02-15,T023,G03,G05,14:30,14:30,0,A l'heure,206,51.43
J000009,2026-03-29,T031,G09,G12,16:30,16:30,0,A l'heure,146,23.79
J000010,2026-01-28,T012,G15,G08,22:48,22:48,0,A l'heure,333,67.27
J000011,2026-03-04,T023,G10,G07,19:54,19:54,0,A l'heure,168,31.09
J000012,2026-05-22,T031,G02,G10,17:24,17:24,0,A l'heure,143,24.43
J000013,2025-11-27,T016,G15,G07,10:36,10:36,0,A l'heure,241,43.95
J000014,2026-05-14,T020,G09,G06,13:15,13:40,25,Retarde,367,28.5
J000015,2025-10-17,T037,G15,G02,13:42,13:42,0,A l'heure,107,26.74
J000016,2026-05-21,T020,G03,G01,16:21,16:21,0,A l'heure,344,24.29
J000017,2025-11-05,T002,G11,G07,13:12,13:12,0,A l'heure,204,60.87
J000018,2026-04-01,T040,G05,G15,13:18,13:18,0,A l'heure,79,21.35
J000019,2025-12-10,T004,G12,G07,13:36,13:40,4,Retarde,316,69.24
J000020,2026-02-08,T034,G07,G09,10:00,10:20,20,Retarde,124,18.36
J000021,2025-11-29,T012,G11,G10,16:42,16:43,1,Retarde,276,62.04
J000022,2026-01-14,T022,G11,G03,10:45,10:55,10,Retarde,404,33.94
J000023,2025-11-05,T038,G13,G04,07:24,07:24,0,A l'heure,133,25.18
J000024,2026-07-24,T009,G01,G13,07:24,07:24,0,A l'heure,264,71.43
J000025,2026-01-17,T030,G13,G02,09:00,09:00,0,A l'heure,215,19.1
J000026,2026-04-07,T015,G12,G14,17:48,17:48,0,A l'heure,428,44.17
J000027,2026-08-08,T006,G08,G07,05:12,05:12,0,A l'heure,210,90.08
J000028,2026-04-01,T031,G04,G14,12:12,12:18,6,Retarde,128,16.18
J000029,2026-08-22,T016,G14,G08,10:06,10:22,16,Retarde,390,26.4
J000030,2026-04-20,T006,G07,G09,20:06,20:06,0,A l'heure,488,82.99
J000031,2026-02-05,T033,G03,G14,13:36,13:36,0,A l'heure,103,25.87
J000032,2026-03-13,T014,G07,G11,18:30,18:51,21,Retarde,228,85.9
J000033,2026-03-13,T019,G15,G14,09:15,09:38,23,Retarde,256,35.72
J000034,2026-06-29,T008,G06,G04,10:18,10:18,0,A l'heure,329,66.81
J000035,2026-03-17,T005,G03,G09,05:42,05:42,0,A l'heure,331,87.4
J000036,2025-12-26,T034,G13,G01,22:24,22:28,4,Retarde,124,17.99
J000037,2025-12-13,T017,G09,G15,05:00,05:00,0,A l'heure,569,27.1
